protein1 protein2
YAL032C YGR006W
YAL032C YDL043C
YAL032C YCR063W
YAL032C YPR094W
YAL032C YJL203W
YAL032C YJR050W
YAL032C YNL138W-A
YAL032C YIR005W
YAL032C YOR159C
YAL032C YDR416W
YAL032C YDR482C
YAL032C YER013W
YAL032C YKL173W
YAL032C YPR182W
YAL032C YDL209C
YAL032C YFL017W-A
YAL032C YML049C
YAL032C YGL120C
YAL032C YLL036C
YAL032C YDR163W
YAL032C YGR129W
YAL032C YPL213W
YAL032C YLR323C
YAL032C YER172C
YAL032C YPL064C
YAL032C YKR022C
YAL032C YHR165C
YAL032C YMR240C
YAL032C YDL030W
YAL032C YKL081W
YAL032C YDR364C
YAL032C YOR319W
YAL032C YLR016C
YAL032C YMR288W
YAL032C YER036C
YAL032C YLR424W
YAL032C YER029C
YAL032C YKL095W
YAL032C YLR147C
YAL032C YOL090W
YAL032C YGL128C
YAL032C YNL245C
YAL032C YMR213W
YAL032C YDR021W
YAL032C YDR243C
YAL032C YOR308C
YAL032C YLR275W
YAL033W YLR197W
YAL033W YLR145W
YAL033W YPR137W
YAL033W YEL026W
YAL033W YLR105C
YAL033W YBR257W
YAL033W YBL018C
YAL033W YDL208W
YAL033W YML091C
YAL033W YOR310C
YAL033W YAR008W
YAL033W YNL221C
YAL033W YDR386W
YAL033W YDL014W
YAL033W YIR015W
YAL033W YBR167C
YAL033W YGR030C
YAL033W YHR062C
YAL033W YNL282W
YAL033W YDR478W
YAL034W-A YGR179C
YAL034W-A YGL093W
YAL034W-A YPL018W
YAL034W-A YJR112W
YAL034W-A YPL209C
YAL034W-A YBR211C
YAL034W-A YKL049C
YAL034W-A YKL089W
YAL034W-A YER018C
YAL034W-A YDR318W
YAL034W-A YIL144W
YAL034W-A YPR046W
YAL034W-A YIR010W
YAL034W-A YPL233W
YAL034W-A YLR381W
YAL034W-A YOL069W
YAL034W-A YMR117C
YAL034W-A YDR254W
YAL035W YIL069C
YAL035W YER074W
YAL035W YJR094W-A
YAL035W YGL111W
YAL035W YGL135W
YAL035W YPL131W
YAL035W YKL143W
YAL035W YML026C
YAL035W YMR194W
YAL035W YER117W
YAL035W YDR087C
YAL035W YLR048W
YAL035W YPL198W
YAL035W YBR181C
YAL035W YLR009W
YAL035W YLL008W
YAL035W YLR325C
YAL035W YLR185W
YAL035W YGR162W
YAL035W YOL041C
YAL035W YDL060W
YAL035W YJR123W
YAL035W YNR053C
YAL035W YPL169C
YAL035W YER126C
YAL035W YLL034C
YAL035W YPR163C
YAL035W YGL147C
YAL035W YDR418W
YAL035W YOR096W
YAL035W YBR267W
YAL035W YHR021C
YAL035W YDR172W
YAL035W YMR290C
YAL035W YNL302C
YAL035W YNL110C
YAL035W YMR143W
YAL035W YDL075W
YAL035W YER002W
YAL035W YMR146C
YAL035W YNL061W
YAL035W YHR088W
YAL035W YER036C
YAL035W YCR031C
YAL035W YOL040C
YAL035W YBR048W
YAL035W YHR085W
YAL035W YIL018W
YAL035W YKR081C
YAL035W YOR272W
YAL035W YOR361C
YAL035W YNL207W
YAL035W YBR189W
YAL035W YLR344W
YAL035W YOR167C
YAL035W YDR283C
YAL035W YGL103W
YAL035W YCL054W
YAL035W YPL081W
YAL035W YBR191W
YAL035W YGR214W
YAL035W YOL120C
YAL035W YDR365C
YAL035W YKL009W
YAL035W YOL139C
YAL035W YLR441C
YAL035W YLR388W
YAL035W YLR002C
YAL035W YPR043W
